username,group,marks_prop,n,group_label,marks_num,first_task,later_tasks
anon159,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon16,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon169,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon173,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon193,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon212,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon217,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon221,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon42,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon45,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon46,C-GC,0.75,28,"C-GC
(n=28)",3,C,GC
anon48,C-GC,0.75,28,"C-GC
(n=28)",3,C,GC
anon59,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon60,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon62,C-GC,0.75,28,"C-GC
(n=28)",3,C,GC
anon67,C-GC,0.75,28,"C-GC
(n=28)",3,C,GC
anon74,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon82,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon84,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon93,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon100,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon109,G-CG,0,34,"G-CG
(n=34)",0,G,CG
anon12,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon122,G-CG,0.5,34,"G-CG
(n=34)",2,G,CG
anon124,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon132,G-CG,0,34,"G-CG
(n=34)",0,G,CG
anon137,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon139,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon143,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon145,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon150,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon151,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon154,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon157,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon160,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon162,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon167,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon18,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon186,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon194,G-CG,0,34,"G-CG
(n=34)",0,G,CG
anon195,G-CG,0.25,34,"G-CG
(n=34)",1,G,CG
anon199,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon203,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon209,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon220,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon225,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon229,G-CG,0.5,34,"G-CG
(n=34)",2,G,CG
anon23,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon26,G-CG,0,34,"G-CG
(n=34)",0,G,CG
anon54,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon57,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon73,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon75,G-CG,0.75,34,"G-CG
(n=34)",3,G,CG
anon97,G-CG,1,34,"G-CG
(n=34)",4,G,CG
anon105,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon106,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon114,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon120,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon129,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon133,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon146,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon147,G-GC,0.5,33,"G-GC
(n=33)",2,G,GC
anon149,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon152,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon153,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon161,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon164,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon165,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon178,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon185,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon187,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon19,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon190,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon191,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon210,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon219,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon224,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon227,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon230,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon44,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon55,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon58,G-GC,0.25,33,"G-GC
(n=33)",1,G,GC
anon64,G-GC,0.75,33,"G-GC
(n=33)",3,G,GC
anon70,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon89,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon91,G-GC,1,33,"G-GC
(n=33)",4,G,GC
anon92,G-GC,1,33,"G-GC
(n=33)",4,G,GC
