username,group,overall_group,marks_available,marks_attained,marks_incdec,marks_bdd,marks_far_incdec,marks_far_bdd,marks_far_attained,first_task,later_tasks,n,group_label
anon52,GC,G,15,5,3,2,2,2,4,G,,60,GC (n=60)
anon56,CG,C,15,7,4,3,2,2,4,C,,61,CG (n=61)
anon57,GC,G,15,13,7,5,2,2,4,G,,60,GC (n=60)
anon59,GC,G,15,9.5,5,4,2,2,4,G,,60,GC (n=60)
anon6,GC,G,15,11,7,4,2,1,3,G,,60,GC (n=60)
anon60,GC,G,15,12,6,5,2,2,4,G,,60,GC (n=60)
anon61,CG,C,15,11,6,5,2,2,4,C,,61,CG (n=61)
anon63,GC,G,15,9,6,2,2,1,3,G,,60,GC (n=60)
anon65,GC,G,15,10,6,4,2,2,4,G,,60,GC (n=60)
anon66,GC,G,15,12.5,7,5,2,1,3,G,,60,GC (n=60)
anon67,GC,G,15,9.5,6,3,2,1,3,G,,60,GC (n=60)
anon69,CG,C,15,8,4,4,2,2,4,C,,61,CG (n=61)
anon71,GC,G,15,6,3,3,2,1,3,G,,60,GC (n=60)
anon72,GC,G,15,15,7,7,2,2,4,G,,60,GC (n=60)
anon78,CG,C,15,12,7,4,2,2,4,C,,61,CG (n=61)
anon80,GC,G,15,14,7,6,2,2,4,G,,60,GC (n=60)
anon86,CG,C,15,8.5,6,2,2,1,3,C,,61,CG (n=61)
anon87,GC,G,15,8,6,2,1,0,1,G,,60,GC (n=60)
anon88,GC,G,15,13,7,6,2,2,4,G,,60,GC (n=60)
anon89,CG,C,15,7,4,3,2,1,3,C,,61,CG (n=61)
anon90,CG,C,11,8.5,5,3,0,0,0,C,,61,CG (n=61)
anon95,GC,G,3,3,1,1,0,0,0,G,,60,GC (n=60)
anon96,CG,C,15,14,7,6,2,2,4,C,,61,CG (n=61)
anon97,CG,C,15,10,6,4,2,1,3,C,,61,CG (n=61)
anon98,CG,C,4,4,2,2,2,2,4,C,,61,CG (n=61)
anon99,CG,C,15,8,5,3,2,2,4,C,,61,CG (n=61)
anon23,CG,C,0,0,0,0,0,0,0,C,,61,CG (n=61)
anon39,CG,C,0,0,0,0,0,0,0,C,,61,CG (n=61)
anon58,CG,C,0,0,0,0,0,0,0,C,,61,CG (n=61)
