study,task_order,username,C,G
study2,Classify first,anon187,4,2.5
study2,Classify first,anon192,5,3
study2,Classify first,anon194,4,3
study2,Classify first,anon196,3,0
study2,Classify first,anon197,2,1
study2,Classify first,anon201,5,4
study2,Classify first,anon204,5,3.5
study2,Classify first,anon208,4,3.5
study2,Classify first,anon214,4,3
study2,Classify first,anon215,6,2.5
study2,Classify first,anon216,2,0.5
study2,Classify first,anon26,3,3
study2,Classify first,anon31,3,0.5
study2,Classify first,anon32,5,4
study2,Classify first,anon33,4,5
study2,Classify first,anon46,6,2.5
study2,Classify first,anon56,3,0
study2,Classify first,anon61,3,4
study2,Classify first,anon69,3,1
study2,Classify first,anon78,4,4
study2,Classify first,anon86,4,1.5
study2,Classify first,anon89,4,0
study2,Classify first,anon90,5,3.5
study2,Classify first,anon96,5,5
study2,Classify first,anon97,3,4
study2,Classify first,anon99,4,0
study2,Generate first,anon101,4,2.5
study2,Generate first,anon110,6,3.5
study2,Generate first,anon113,5,2.5
study2,Generate first,anon115,6,3
study2,Generate first,anon119,4,2
study2,Generate first,anon121,2,4
study2,Generate first,anon13,2,1
study2,Generate first,anon133,1,0
study2,Generate first,anon135,5,3.5
study2,Generate first,anon136,5,2.5
study2,Generate first,anon137,6,3.5
study2,Generate first,anon138,3,4
study2,Generate first,anon142,6,4
study2,Generate first,anon156,2,0
study2,Generate first,anon160,5,3.5
study2,Generate first,anon166,5,2
study2,Generate first,anon170,5,4
study2,Generate first,anon173,2,0.5
study2,Generate first,anon195,3,2.5
study2,Generate first,anon199,1,0
study2,Generate first,anon20,4,0.5
study2,Generate first,anon202,3,1
study2,Generate first,anon203,4,2
study2,Generate first,anon205,5,0.5
study2,Generate first,anon206,4,1.5
study2,Generate first,anon209,4,3
study2,Generate first,anon21,5,2.5
study2,Generate first,anon211,4,3
study2,Generate first,anon218,6,3
study2,Generate first,anon221,5,4.5
study2,Generate first,anon24,5,4
study2,Generate first,anon25,5,3
study2,Generate first,anon28,4,3
study2,Generate first,anon3,6,1
study2,Generate first,anon36,2,2
study2,Generate first,anon38,4,3
study2,Generate first,anon41,6,4
study2,Generate first,anon44,5,2.5
study2,Generate first,anon52,1,0
study2,Generate first,anon57,5,4
study2,Generate first,anon59,5,0.5
study2,Generate first,anon6,6,2
study2,Generate first,anon60,4,4
study2,Generate first,anon63,2,4
study2,Generate first,anon65,3,3
study2,Generate first,anon66,6,3.5
study2,Generate first,anon67,5,1.5
study2,Generate first,anon71,2,1
study2,Generate first,anon72,6,5
study2,Generate first,anon80,6,4
study2,Generate first,anon87,4,3
study2,Generate first,anon88,6,3
study2,Generate first,anon95,2,1
